id,name,city,province,location,altitude,difficulty,description,image_url
123e4567-e89b-12d3-a456-426614174000,黄山,黄山市,安徽省,"{"lat": 30.1317,"lng": 118.1667}",1864,3,中国十大名山之一，以奇松、怪石、云海、温泉著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174001,泰山,泰安市,山东省,"{"lat": 36.2536,"lng": 117.1004}",1545,3,五岳之首，天下第一山，历史文化底蕴深厚,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174002,华山,华阴市,陕西省,"{"lat": 34.4885,"lng": 110.0953}",2154,5,奇险天下第一山，以险峻著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174003,衡山,衡阳市,湖南省,"{"lat": 27.2568,"lng": 112.6943}",1300,2,五岳之一，南岳衡山，以秀美著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174004,恒山,大同市,山西省,"{"lat": 39.6743,"lng": 113.7366}",2016,3,五岳之一，北岳恒山，道教圣地,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174005,嵩山,登封市,河南省,"{"lat": 34.4659,"lng": 113.0206}",1512,2,五岳之一，中岳嵩山，少林寺所在地,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174006,峨眉山,乐山市,四川省,"{"lat": 29.5998,"lng": 103.4833}",3099,4,佛教名山，普贤菩萨道场，风景秀丽,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174007,武当山,十堰市,湖北省,"{"lat": 32.4042,"lng": 111.0038}",1612,3,道教圣地，武当武术发源地,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174008,庐山,九江市,江西省,"{"lat": 29.4333,"lng": 115.9667}",1474,2,中国十大名山之一，以雄、奇、险、秀著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174009,张家界,张家界市,湖南省,"{"lat": 29.1252,"lng": 110.4792}",1262,3,世界自然遗产，以奇特的砂岩峰林地貌著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174010,玉龙雪山,丽江市,云南省,"{"lat": 27.1198,"lng": 100.2367}",5596,5,北半球最近赤道的雪山，纳西族神山,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174011,梅里雪山,迪庆州,云南省,"{"lat": 28.4333,"lng": 98.7333}",6740,5,藏传佛教四大神山之一，主峰卡瓦格博,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174012,五台山,忻州市,山西省,"{"lat": 38.9517,"lng": 113.6986}",3061,4,中国佛教四大名山之一，文殊菩萨道场,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174013,普陀山,舟山市,浙江省,"{"lat": 29.9792,"lng": 122.3086}",291,2,中国佛教四大名山之一，观音菩萨道场,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174014,九华山,池州市,安徽省,"{"lat": 30.5367,"lng": 117.8103}",1342,3,中国佛教四大名山之一，地藏菩萨道场,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174015,三清山,上饶市,江西省,"{"lat": 28.9397,"lng": 118.0306}",1819,4,道教名山，世界自然遗产，以奇峰怪石著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174016,雁荡山,温州市,浙江省,"{"lat": 28.3142,"lng": 121.1025}",1056,3,东南第一山，以山水奇秀闻名,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174017,武夷山,南平市,福建省,"{"lat": 27.7681,"lng": 117.9794}",2158,3,世界文化与自然双重遗产，丹霞地貌,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174018,青城山,都江堰市,四川省,"{"lat": 30.6783,"lng": 103.5731}",1260,2,道教名山，世界文化遗产，以清幽著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174019,龙虎山,鹰潭市,江西省,"{"lat": 28.0389,"lng": 116.9028}",1364,3,道教名山，世界自然遗产，丹霞地貌,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174020,齐云山,黄山市,安徽省,"{"lat": 29.7217,"lng": 118.1806}",585,2,道教名山，丹霞地貌，以摩崖石刻著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174021,崆峒山,平凉市,甘肃省,"{"lat": 35.6053,"lng": 106.6219}",2123,4,道教名山，黄帝问道处,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174022,麦积山,天水市,甘肃省,"{"lat": 34.3633,"lng": 105.7228}",1742,3,佛教石窟艺术宝库，世界文化遗产,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174023,天柱山,安庆市,安徽省,"{"lat": 30.7353,"lng": 116.5092}",1489,3,古南岳，以奇峰怪石著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174024,梵净山,铜仁市,贵州省,"{"lat": 27.9475,"lng": 108.6667}",2572,4,世界自然遗产，佛教名山，弥勒菩萨道场,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174025,鸡公山,信阳市,河南省,"{"lat": 32.1728,"lng": 114.0247}",768,2,中国四大避暑胜地之一,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174026,莫干山,湖州市,浙江省,"{"lat": 30.6300,"lng": 119.8553}",718,2,中国四大避暑胜地之一，以竹、泉、云著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174027,崂山,青岛市,山东省,"{"lat": 36.1989,"lng": 120.4753}",1132,3,海上名山第一，道教圣地,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174028,千山,鞍山市,辽宁省,"{"lat": 41.0575,"lng": 123.0236}",708,2,东北明珠，以千朵莲花山著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174029,长白山,白山市,吉林省,"{"lat": 42.0000,"lng": 128.0000}",2691,4,东北第一高峰，天池闻名,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174030,大兴安岭,大兴安岭地区,黑龙江省,"{"lat": 52.0000,"lng": 124.0000}",1404,3,中国最大的原始森林区,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174031,小兴安岭,伊春市,黑龙江省,"{"lat": 48.0000,"lng": 129.0000}",1429,3,东北重要的林业基地,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174032,贺兰山,银川市,宁夏回族自治区,"{"lat": 38.5000,"lng": 106.2000}",3556,4,宁夏与内蒙古的界山,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174033,阴山,呼和浩特市,内蒙古自治区,"{"lat": 41.0000,"lng": 109.0000}",2364,3,中国北方重要的地理分界线,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174034,阿尔泰山,阿勒泰市,新疆维吾尔自治区,"{"lat": 48.0000,"lng": 90.0000}",4374,5,中国与蒙古、俄罗斯、哈萨克斯坦的界山,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174035,天山,乌鲁木齐市,新疆维吾尔自治区,"{"lat": 42.0000,"lng": 86.0000}",7443,5,世界七大山系之一，新疆的象征,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174036,昆仑山,和田地区,新疆维吾尔自治区,"{"lat": 35.0000,"lng": 85.0000}",7649,5,中国第一神山，万祖之山,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174037,喀喇昆仑山,喀什地区,新疆维吾尔自治区,"{"lat": 35.0000,"lng": 77.0000}",8611,5,世界第二高峰乔戈里峰所在地,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174038,祁连山,张掖市,甘肃省,"{"lat": 38.0000,"lng": 98.0000}",5808,4,甘肃与青海的界山,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174039,横断山,甘孜州,四川省,"{"lat": 28.0000,"lng": 100.0000}",7556,5,中国最长、最宽和最典型的南北向山系,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174040,喜马拉雅山,日喀则市,西藏自治区,"{"lat": 28.0000,"lng": 86.0000}",8848,5,世界最高大的山脉，珠穆朗玛峰所在地,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174041,冈底斯山,阿里地区,西藏自治区,"{"lat": 32.0000,"lng": 81.0000}",6656,5,藏传佛教四大神山之一,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174042,唐古拉山,那曲市,西藏自治区,"{"lat": 33.0000,"lng": 91.0000}",6621,5,长江的发源地,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174043,巴颜喀拉山,果洛州,青海省,"{"lat": 34.0000,"lng": 97.0000}",5266,4,黄河的发源地,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174044,可可西里山,玉树州,青海省,"{"lat": 35.0000,"lng": 91.0000}",6860,5,青藏高原的一部分，野生动物保护区,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174045,念青唐古拉山,林芝市,西藏自治区,"{"lat": 30.0000,"lng": 90.0000}",7162,5,西藏三大神山之一,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174046,台湾玉山,南投县,台湾省,"{"lat": 23.4786,"lng": 121.0583}",3952,4,台湾最高山峰,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174047,贡嘎山,甘孜州,四川省,"{"lat": 29.5998,"lng": 101.5897}",7556,5,蜀山之王，横断山脉最高峰,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174048,四姑娘山,阿坝州,四川省,"{"lat": 31.1103,"lng": 102.9242}",6250,5,东方阿尔卑斯山,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174049,稻城亚丁,甘孜州,四川省,"{"lat": 28.4581,"lng": 100.2128}",6032,5,最后的香格里拉,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174050,香山,北京市,北京市,"{"lat": 40.0042,"lng": 116.1856}",575,2,北京最高峰，以红叶闻名,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174051,八达岭,延庆区,北京市,"{"lat": 40.3584,"lng": 116.0135}",1005,2,长城重要关隘，以险峻著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174052,雾灵山,承德市,河北省,"{"lat": 40.6056,"lng": 117.4964}",2118,3,燕山主峰，以云海闻名,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174053,盘山,天津市,天津市,"{"lat": 40.0844,"lng": 117.4894}",856,2,京东第一山，以奇松怪石著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174054,野三坡,保定市,河北省,"{"lat": 39.4442,"lng": 115.0678}",1983,3,世外桃源，以山水奇秀著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174055,苍岩山,石家庄市,河北省,"{"lat": 38.0456,"lng": 114.3153}",1817,3,太行山主峰，以雄伟著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174057,北武当山,张家口市,河北省,"{"lat": 40.9333,"lng": 115.5000}",2882,4,北方道教名山，以险峻著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174058,老君山,洛阳市,河南省,"{"lat": 34.5483,"lng": 111.5333}",2192,4,道教名山，老子归隐处,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174059,白云山,广州市,广东省,"{"lat": 23.1833,"lng": 113.2989}",382,1,南粤第一秀，以云海闻名,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174060,西樵山,佛山市,广东省,"{"lat": 22.9583,"lng": 112.9619}",346,2,南粤名山，以奇峰著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174061,鼎湖山,肇庆市,广东省,"{"lat": 23.1589,"lng": 112.5586}",1000,2,岭南四大名山之一，以湖光山色著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174062,丹霞山,韶关市,广东省,"{"lat": 25.0153,"lng": 113.5883}",408,2,世界自然遗产，以丹霞地貌著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174063,罗浮山,惠州市,广东省,"{"lat": 23.2667,"lng": 114.0167}",1296,3,岭南第一山，道教圣地,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174066,雷公山,黔东南州,贵州省,"{"lat": 26.3983,"lng": 108.3750}",2178,4,黔东南第一山，以险峻著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174068,苍山,大理市,云南省,"{"lat": 25.5967,"lng": 100.2667}",4122,5,滇西第一山，以云海闻名,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174069,高黎贡山,保山市,云南省,"{"lat": 25.3333,"lng": 98.7500}",5128,5,世界自然遗产，以生物多样性著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174070,无量山,普洱市,云南省,"{"lat": 24.5167,"lng": 100.9333}",3306,4,滇南名山，以云海闻名,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174071,哀牢山,玉溪市,云南省,"{"lat": 24.0500,"lng": 101.5500}",3166,4,滇中名山，以森林茂密著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174073,白马雪山,迪庆州,云南省,"{"lat": 27.9333,"lng": 99.4167}",5416,5,滇西北第一高峰，以冰川著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174074,哈巴雪山,迪庆州,云南省,"{"lat": 28.4333,"lng": 98.7333}",5396,5,云南最高峰，以冰川著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174076,点苍山,大理市,云南省,"{"lat": 25.6667,"lng": 100.2667}",4122,5,大理苍山，以云海闻名,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174077,鸡足山,大理市,云南省,"{"lat": 25.9500,"lng": 100.3667}",3248,4,佛教名山，迦叶尊者道场,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174078,石宝山,大理市,云南省,"{"lat": 26.4167,"lng": 100.2500}",3030,4,佛教名山，以石窟著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174080,轿子雪山,昆明市,云南省,"{"lat": 25.5500,"lng": 102.8667}",4247,5,滇中第一高峰，以冰川著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174081,大围山,红河州,云南省,"{"lat": 23.3667,"lng": 103.7667}",2363,4,滇南第一高峰，以森林茂密著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174085,怒山,怒江州,云南省,"{"lat": 27.7333,"lng": 98.8500}",5128,5,怒江大峡谷，以险峻著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174086,云岭山,迪庆州,云南省,"{"lat": 27.8333,"lng": 99.7000}",5596,5,滇西北名山，以冰川著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400